"B (Tesla)" 	"P"
0 	0
0.10000000000000001 	0.14000000000000001
0.20000000000000001 	0.16
0.29999999999999999 	0.34000000000000002
0.40000000000000002 	0.55000000000000004
0.5 	0.80000000000000004
0.59999999999999998 	1.0800000000000001
0.69999999999999996 	1.3799999999999999
0.80000000000000004 	1.73
0.90000000000000002 	2.1000000000000001
1 	2.5099999999999998
1.1000000000000001 	2.98
1.2 	3.5099999999999998
1.3 	4.1500000000000004
1.3999999999999999 	4.9699999999999998
1.5 	5.9199999999999999
